Entity,Date,Beta,Susceptible
Ireland,25/02/2022,0.07966360500675491,0.741556224
Ireland,27/02/2022,0.08522953347868437,0.739957015
Ireland,01/03/2022,0.08286722331560634,0.738775873
Ireland,03/03/2022,0.08558781884013843,0.737666003
Ireland,05/03/2022,0.0834439676523794,0.736195798
Ireland,07/03/2022,0.08205681691284833,0.734633219
Ireland,09/03/2022,0.08915672250180456,0.733909165
Ireland,11/03/2022,0.08932613863814962,0.7327041350000001
Ireland,13/03/2022,0.07243588194767749,0.730079863
Ireland,15/03/2022,0.057922353975819074,0.728127486
Ireland,17/03/2022,0.03750669011341051,0.726458798
Ireland,19/03/2022,0.03054638282891383,0.724337402
Ireland,21/03/2022,0.034235571350282434,0.722263985
Ireland,23/03/2022,0.04181961982163587,0.720454149
Ireland,25/03/2022,0.054977665365687975,0.717517322
Ireland,27/03/2022,0.06986108773666733,0.713930698
Ireland,29/03/2022,0.07489228817034903,0.711010394
Ireland,31/03/2022,0.07065834644672271,0.708781097
Ireland,02/04/2022,0.04662915269040091,0.706668262
Israel,10/02/2020,0.15885653610193484,1.0
Israel,12/02/2020,0.0788250276854928,1.0
Israel,14/02/2020,0.05509874731920706,0.999999048
Israel,16/02/2020,0.04362015219228839,0.999999048
Israel,18/02/2020,0.05175801105706597,0.999999048
Israel,20/02/2020,0.0632175100887215,0.999999048
Israel,22/02/2020,0.09612941414911208,0.999998942
Israel,24/02/2020,0.13477530931187082,0.999998942
Israel,26/02/2020,0.14931816916928814,0.999998836
Israel,28/02/2020,0.14009231137300526,0.99999873
Israel,01/03/2020,0.13060639986367142,0.999998413
Israel,03/03/2020,0.12372424544112606,0.999997778
Israel,05/03/2020,0.111505212609923,0.99999746
Israel,07/03/2020,0.10137446887832542,0.999996084
Israel,09/03/2020,0.09186244210046438,0.999994708
Israel,11/03/2020,0.08142683421618625,0.999990793
Israel,13/03/2020,0.07372863167451969,0.999986454
Israel,15/03/2020,0.07068383144958913,0.99997968
Israel,17/03/2020,0.06670200416303947,0.999967721
